variable_a,variable_b,r,reach_a,reach_b,recommended_keep,recommended_drop
automated_readability_index,parse_tree_depth_std,0.981,0.126,0.144,parse_tree_depth_std,automated_readability_index
coleman_liau_index,parse_tree_depth_mean,0.921,0.127,0.199,parse_tree_depth_mean,coleman_liau_index
coleman_liau_index,parse_tree_depth_std,0.981,0.126,0.144,parse_tree_depth_std,coleman_liau_index
lix,rix,0.91,0.244,0.188,lix,rix
rix,coordination_ratio,0.814,0.189,0.206,coordination_ratio,rix
H_unigram_win_mean_nats,PPL_unigram_win_mean,0.881,0.109,0.099,H_unigram_win_mean_nats,PPL_unigram_win_mean
pc_top5_strength,semantic_volume_logdet,0.901,0.147,0.149,semantic_volume_logdet,pc_top5_strength
pc_top5_strength,topic_cluster_entropy,-0.841,0.148,0.137,pc_top5_strength,topic_cluster_entropy
semantic_volume_logdet,topic_cluster_entropy,-0.806,0.149,0.137,semantic_volume_logdet,topic_cluster_entropy
topic_cluster_entropy,max_cluster_share,-0.946,0.136,0.121,topic_cluster_entropy,max_cluster_share
aoa_mean,aoa_std,0.928,0.286,0.282,aoa_mean,aoa_std
aoa_mean,prevalence_mean,-0.889,0.286,0.308,prevalence_mean,aoa_mean
aoa_std,prevalence_mean,-0.935,0.282,0.308,prevalence_mean,aoa_std
prevalence_mean,mean_dependents_per_head,-0.832,0.309,0.292,prevalence_mean,mean_dependents_per_head
prevalence_mean,prop_complex_sentences,0.853,0.308,0.313,prop_complex_sentences,prevalence_mean
subordination_ratio,coordination_ratio,0.866,0.228,0.205,subordination_ratio,coordination_ratio
subordination_ratio,clauses_per_sentence,0.979,0.227,0.256,clauses_per_sentence,subordination_ratio
coordination_ratio,clauses_per_sentence,0.892,0.205,0.257,clauses_per_sentence,coordination_ratio
parse_tree_depth_mean,parse_tree_depth_std,0.953,0.199,0.144,parse_tree_depth_mean,parse_tree_depth_std
